country,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Afghanistan,,,,,37.5,21.6,21.6,,,,
Albania,49,65.5,65.5,74.4,74.4,54.7,54.7,65.9,,,
Algeria,44.8,57.2,57.2,70.3,70.3,50.1,50.1,48.6,,,
American Samoa,,,,,0,,,,,,
Andorra,,,,,0,,,,,,
Angola,,,,,51.3,28.7,28.7,47.6,,,
Antigua and Barbuda,,,,,62.5,48.9,48.9,,,,
Argentina,52.2,59.3,59.3,79.8,79.8,49.6,49.5,56.5,,,
Armenia,52.3,62.1,62.1,81.6,81.6,61.7,61.7,47.5,,,
Aruba,,,,,0,,,,,,
Australia,74.9,74.1,74.1,87.2,87.2,82.4,82.4,56.6,,,
Austria,79.6,79,79,86.6,86.6,78.3,78.3,68.9,,,
Azerbaijan,46.5,62.3,62.3,83.8,83.8,55.5,55.5,43.1,,,
"Bahamas, The",,,,,69.3,46.6,46.6,,,,
Bahrain,51,55.1,55.2,70.1,70.1,51.8,51.8,,,,
Bangladesh,29,29.6,29.6,41.8,41.8,25.6,25.6,42.6,,,
Barbados,,,,,55,45.5,45.5,,,,
Belarus,53,65,65,82.3,82.3,67.7,67.7,53.9,,,
Belgium,73.3,77.4,77.4,80.2,80.2,66.6,66.6,63,,,
Belize,,,,,73.5,50.5,50.5,,,,
Benin,30,38.2,38.2,43.7,43.7,32.4,32.4,50.4,,,
Bermuda,,,,,0,,,,,,
Bhutan,,,,,65,46.9,46.9,,,,
Bolivia,44.3,56,56,71.1,71.1,50.5,50.5,54.6,,,
Bosnia and Herzegovina,45.4,41.8,41.8,63.3,63.3,45.8,45.8,36.8,,,
Botswana,40.4,51.7,51.7,70.7,70.7,47.6,47.6,53.7,,,
Brazil,51.2,60.7,60.7,78.9,78.9,53,53,60.9,,,
British Virgin Islands,,,,,0,,,,,,
Brunei,54.8,63.6,63.6,67.9,67.9,66.5,66.5,62.5,,,
Bulgaria,57,67.8,67.9,83.4,83.4,64,64,56.3,,,
Burkina Faso,38.3,42.8,42.8,43.7,43.7,40.5,40.5,,,,
Burundi,,27.4,,43.4,43.4,25.8,25.8,,,,
Cabo Verde,32.8,,,,52,44.1,44.1,,,,
Cambodia,33.6,43.2,43.2,51.2,51.2,35.4,35.4,55.3,,,
Cameroon,33.6,40.8,40.8,57.1,57.1,36.7,36.7,43,,,
Canada,71,72.2,72.2,85.1,85.1,73.1,73.1,58.4,,,
Cayman Islands,,,,,0,,,,,,
Central African Republic,,,,,46.5,42.9,42.9,,,,
Chad,,,,,37.8,31,31,,,,
Channel Islands,,,,,0,,,,,,
Chile,55.3,57.5,57.5,77.7,77.7,69.9,69.9,55.3,,,
China,37.3,50.7,50.7,65.1,65.1,43,43,42.2,,,
Colombia,52.9,65.2,65.2,75.9,75.9,50.8,50.8,62.3,,,
Comoros,,,,,49.2,31.4,31.4,,,,
"Congo, Dem. Rep.",,,,,42,25,25,,,,
"Congo, Rep.",,,,,59.6,39.4,39.4,,,,
Costa Rica,52.5,67.8,67.9,80,80,58.5,58.5,69,,,
Cote d'Ivoire,25.8,45.3,,59.9,59.9,39.7,39.7,53.5,,,
Croatia,63.1,65.5,65.5,87,87,62.2,62.2,64.2,,,
Cuba,,,,,79,55.1,55.1,,,,
Curacao,,,,,0,,,,,,
Cyprus,64.8,72.6,72.6,80.2,80.2,66.2,66.2,57.2,,,
Czech Republic,,,67.7,84.7,84.7,81.5,81.5,64.8,,,
Denmark,82.5,81.6,81.6,89.2,89.2,76.9,76.9,63.6,,,
Djibouti,,,,,45.3,28.5,28.5,,,,
Dominica,,,,,73.3,47.1,47.1,,,,
Dominican Republic,,,64.7,75.3,75.3,53.2,53.2,52.4,,,
Ecuador,51,57.4,57.4,66.6,66.6,58.5,58.5,60.6,,,
"Egypt, Arab Rep.",43.3,61.2,61.2,66.5,66.5,61.1,61.1,55.2,,,
El Salvador,43.1,53.9,53.9,68.1,68.1,43.8,43.8,52.1,,,
Equatorial Guinea,,,,,69.6,41.1,41.1,,,,
Eritrea,,,,,36.7,25.8,25.8,,,,
Estonia,65.3,64.3,64.3,88.6,88.6,74.7,74.7,56.1,,,
Ethiopia,34.4,44.8,,45.8,45.8,39.4,39.4,52.7,,,
Faroe Islands,,,,,0,,,,,,
Fiji,,,,,75.3,53.1,53.1,,,,
Finland,78.9,78.6,78.6,90.7,90.7,75.7,75.7,64.4,,,
France,80,84,84,88.2,88.2,71.1,71,69,,,
French Polynesia,,,,,0,,,,,,
Gabon,,,,,67.4,46.6,46.6,57.9,,,
"Gambia, The",,,,,52.1,29.3,29.3,,,,
Georgia,41.3,55.7,55.7,65,65,47.2,47.2,56.8,,,
Germany,77.2,78.4,78.4,84.3,84.3,80.5,80.5,66.9,,,
